Faculty,Are you currently taking any add-on or extra cocurricular courses outside of your major requirements?,Do you prefer courses that are more theoretical or practical in nature?,Are you interested to learn add on courses?,Which Programming Languages are you Proficient in?,Interested in,What are your Primary areas of interest within computer Science field?,Do you have any background knowledge in
Science,No,Both,Yes,Java,Android App Development,Data Science;Software Engineering;Web Developement,Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,Python;C/C++;JavaScript,Web Development;Android App Development;Application Development,AI/ML;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure
Science,No,Both,Yes,C/C++,Web Development;Application Development,CyberSecurity;Web Developement,C/C++;Data Structure
Science,No,Both,Yes,C/C++,Web Development;Android App Development;Windows Application Development,AI/ML;CyberSecurity;Web Developement,C/C++;Data Structure
Science,No,Both,Yes,C/C++,Web Development;Android App Development;Application Development,Web Developement,C/C++;Operating System
Science,No,Both,Yes,Python,Web Development,Data Science,C/C++
Science,No,Both,Yes,Python,Windows Application Development,AI/ML,C/C++
Science,Yes,Both,Yes,Python;C/C++,Web Development;Android App Development;Application Development,AI/ML;Data Science;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,C/C++,Web Development,AI/ML,C/C++;Operating System
Science,No,Both,Yes,C/C++,Web Development;Android App Development,Data Science;Software Engineering,C/C++;Operating System
Science,No,Both,Yes,C/C++,Android App Development,Software Engineering,C/C++
Science,No,Both,Yes,C/C++,Web Development;Android App Development;Application Development,AI/ML;Web Developement,C/C++;Operating System
Science,No,Both,Yes,Python;C/C++;JavaScript,Web Development;Android App Development;Application Development,Software Engineering;Web Developement,C/C++;Operating System
Science,No,Both,Yes,C/C++,Web Development,AI/ML,C/C++;Operating System
Science,No,Both,Yes,C/C++,Web Development,Data Science;Web Developement,C/C++;Data Structure
Science,No,Both,Yes,C/C++,Web Development,Software Engineering;Web Developement,C/C++;Data Structure
Science,No,Both,Yes,Java,Web Development,Data Science,C/C++;Data Structure;Software Engineering
Science,No,Both,Yes,C/C++,Web Development;Android App Development,AI/ML;Web Developement,C/C++;Operating System
Science,Yes,Practical,Yes,Python;Java;C/C++;JavaScript,Web Development;Android App Development;Windows Application Development;Application Development;Utility Software,AI/ML;Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++;Data Structure
Science,No,Both,Yes,C/C++,Web Development;Android App Development,CyberSecurity;Web Developement,C/C++
Science,Yes,Practical,Yes,Python;C/C++,Web Development,AI/ML,C/C++;Operating System;Software Engineering
Science,Yes,Both,Yes,C/C++;JavaScript,Web Development;Android App Development;Application Development,Data Science;Software Engineering;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Both,Yes,C/C++;JavaScript,Web Development;Windows Application Development;Application Development,Data Science;Software Engineering;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,Java,Android App Development;Windows Application Development,AI/ML;Web Developement,Data Structure
Science,No,Both,Yes,C/C++,Web Development;Android App Development,Data Science;Web Developement,C/C++;Operating System
Science,No,Both,Yes,C/C++,Android App Development,Software Engineering,C/C++
Science,No,Practical,Yes,C/C++,Web Development,Data Science,Operating System
Science,Yes,Practical,Yes,Python,Web Development,AI/ML,C/C++
Science,Yes,Both,Yes,Python;C/C++;JavaScript,Web Development,Data Science,C/C++
Science,No,Both,Yes,C/C++,Web Development;Windows Application Development;Application Development,AI/ML;Data Science;Web Developement,C/C++;Operating System;Data Structure
Science,No,Both,Yes,Python;C/C++,Android App Development,Data Science;Software Engineering,C/C++;Data Structure
Science,No,Theoretical,Yes,Python,Android App Development,CyberSecurity,C/C++
Science,No,Both,Yes,Python;C/C++,Android App Development,Data Science;Software Engineering,C/C++;Data Structure
Science,Yes,Both,Yes,C/C++,Android App Development,Software Engineering,C/C++
Science,No,Both,Yes,Python;C/C++,Android App Development,Data Science;Software Engineering,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,C/C++,Web Development,AI/ML,C/C++;Operating System;Data Structure
Science,No,Practical,Yes,C/C++,Application Development,CyberSecurity,C/C++
Science,No,Both,No,C/C++,Web Development,Data Science;Software Engineering;Web Developement,C/C++;Operating System;Data Structure
Science,No,Practical,Yes,C/C++,Web Development;Android App Development;Application Development,AI/ML;Data Science;CyberSecurity,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Both,Yes,C/C++,Web Development,Software Engineering,C/C++
Science,No,Practical,Yes,Python;C/C++,Web Development;Application Development,AI/ML;CyberSecurity,C/C++;Operating System;Data Structure
Science,Yes,Both,Yes,Python;Java;C/C++,Windows Application Development;Application Development,Data Science;Software Engineering,C/C++
Science,No,Both,Yes,Python;Java;C/C++,Web Development;Utility Software,CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,Python;Java;C/C++;JavaScript,Web Development;Android App Development;Application Development,Data Science;Software Engineering;CyberSecurity,C/C++
Science,Yes,Both,Yes,C/C++,Web Development,Web Developement,C/C++
Science,No,Theoretical,Yes,Python;Java;C/C++;JavaScript;Angular JS,Android App Development;Windows Application Development;Application Development;Utility Software,AI/ML;Software Engineering;CyberSecurity,Operating System;Data Structure
Science,Yes,Both,Yes,Python,Web Development;Windows Application Development;Application Development,Data Science;Web Developement,C/C++
Science,Yes,Both,Yes,C/C++,Web Development,Data Science,C/C++
Science,No,Practical,Yes,JavaScript,Web Development,Web Developement,Data Structure
