Faculty,Are you currently taking any add-on or extra cocurricular courses outside of your major requirements?,Do you prefer courses that are more theoretical or practical in nature?,Are you interested to learn add on courses?,Which Programming Languages are you Proficient in?,
Science,Yes,Both,No,Angular JS,Software Engineering
Science,No,Both,Yes,Python,Node JS
Science,No,Practical,Yes,Java,C/C++
Science,Yes,Both,Yes,C/C++,C/C++
Science,Yes,Both,Yes,Python;Java,Software Engineering
Science,No,Practical,Yes,Java,C/C++;Data Structure
Science,Yes,Both,Yes,Python;Java;C/C++;JavaScript,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Practical,Yes,C/C++,C/C++;Data Structure
Science,No,Practical,Yes,C/C++,C/C++;Data Structure;Node JS
Science,No,Both,Yes,Python;Java;C/C++,C/C++
Science,No,Practical,Yes,Java,C/C++
Science,Yes,Both,Yes,C/C++,C/C++
Science,No,Both,Yes,Python,C/C++
Science,Yes,Practical,Yes,Python;C/C++,C/C++;Operating System
Science,No,Practical,Yes,Java,C/C++
Science,Yes,Practical,Yes,Python;C/C++;JavaScript,C/C++;Operating System;Data Structure
Science,No,Both,Yes,C/C++,C/C++
Science,No,Both,Yes,Python,C/C++
Science,No,Both,Yes,Python;C/C++,C/C++;Operating System;Data Structure
Science,No,Both,Yes,C/C++,C/C++
Science,Yes,Both,Yes,Java,C/C++
Science,No,Practical,Yes,C/C++,C/C++
Science,No,Both,No,Python;Java;C/C++;JavaScript,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Practical,Yes,C/C++,C/C++
Science,No,Practical,Yes,Python;Java;C/C++,C/C++
Science,No,Theoretical,Yes,C/C++,C/C++
Science,Yes,Both,Yes,Java;JavaScript,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,Java,C/C++
Science,No,Practical,Yes,Java,Operating System
Science,No,Both,No,Python;Java;C/C++;JavaScript,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Both,Yes,Python,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Practical,Yes,Python,C/C++;Operating System;Data Structure;Software Engineering
Science,Yes,Both,Yes,C/C++,C/C++;Data Structure
Science,No,Both,Yes,Python;Java;C/C++;Angular JS,C/C++;Operating System;Data Structure;Angular JS;Software Engineering
Science,No,Both,Yes,C/C++,Data Structure
Science,No,Practical,Yes,Python;Java;C/C++,C/C++;Operating System;Data Structure
Science,No,Practical,Yes,Java,Data Structure
Science,Yes,Theoretical,Yes,C/C++,C/C++
Science,Yes,Both,Yes,Java;JavaScript,Operating System
Science,Yes,Both,Yes,Python;Java;C/C++,C/C++
